snapshot_ts,system_id,n_seen,n_kept,n_reserved,status,note
2026-07-06T08:57:26,torcy,224,145,0,ok,
2026-07-06T09:01:15,paris,1000,1000,0,ok,
2026-07-06T09:01:15,meaux,16,16,0,ok,
2026-07-06T09:01:15,chessy,88,74,0,ok,
2026-07-06T09:01:15,serris,69,2,0,ok,
2026-07-06T09:01:15,torcy,224,145,0,ok,
2026-07-06T09:15:36,paris,1000,1000,0,ok,
2026-07-06T09:15:36,meaux,16,16,0,ok,
2026-07-06T09:15:36,chessy,88,74,0,ok,
2026-07-06T09:15:36,serris,69,2,0,ok,
2026-07-06T09:15:36,torcy,224,145,0,ok,
2026-07-06T09:31:04,paris,1000,1000,0,ok,
2026-07-06T09:31:04,meaux,16,16,0,ok,
2026-07-06T09:31:04,chessy,88,74,0,ok,
2026-07-06T09:31:04,serris,69,2,0,ok,
2026-07-06T09:31:04,torcy,224,145,0,ok,
2026-07-06T09:45:35,paris,1000,1000,0,ok,
2026-07-06T09:45:35,meaux,16,16,0,ok,
2026-07-06T09:45:35,chessy,88,74,0,ok,
2026-07-06T09:45:35,serris,69,2,0,ok,
2026-07-06T09:45:35,torcy,224,145,0,ok,
2026-07-06T10:01:14,paris,1000,1000,0,ok,
2026-07-06T10:01:14,meaux,16,16,0,ok,
2026-07-06T10:01:14,chessy,88,74,0,ok,
2026-07-06T10:01:14,serris,69,2,0,ok,
2026-07-06T10:01:14,torcy,224,145,0,ok,
2026-07-06T10:15:35,paris,1000,1000,0,ok,
2026-07-06T10:15:35,meaux,16,16,0,ok,
2026-07-06T10:15:35,chessy,88,74,0,ok,
2026-07-06T10:15:35,serris,69,2,0,ok,
2026-07-06T10:15:35,torcy,224,145,0,ok,
2026-07-06T10:31:01,paris,1000,1000,0,ok,
2026-07-06T10:31:01,meaux,16,16,0,ok,
2026-07-06T10:31:01,chessy,88,74,0,ok,
2026-07-06T10:31:01,serris,69,2,0,ok,
2026-07-06T10:31:01,torcy,224,145,0,ok,
2026-07-06T10:45:36,paris,1000,1000,0,ok,
2026-07-06T10:45:36,meaux,16,16,0,ok,
2026-07-06T10:45:36,chessy,88,74,0,ok,
2026-07-06T10:45:36,serris,69,2,0,ok,
2026-07-06T10:45:36,torcy,224,145,0,ok,
2026-07-06T11:01:15,paris,1000,1000,0,ok,
2026-07-06T11:01:15,meaux,16,16,0,ok,
2026-07-06T11:01:15,chessy,88,74,0,ok,
2026-07-06T11:01:15,serris,69,2,0,ok,
2026-07-06T11:01:15,torcy,224,145,0,ok,
2026-07-06T11:15:34,paris,1000,1000,0,ok,
2026-07-06T11:15:34,meaux,16,16,0,ok,
2026-07-06T11:15:34,chessy,88,74,0,ok,
2026-07-06T11:15:34,serris,69,2,0,ok,
2026-07-06T11:15:34,torcy,224,145,0,ok,
2026-07-06T11:31:05,paris,1000,1000,0,ok,
2026-07-06T11:31:05,meaux,16,16,0,ok,
2026-07-06T11:31:05,chessy,88,74,0,ok,
2026-07-06T11:31:05,serris,69,2,0,ok,
2026-07-06T11:31:05,torcy,224,145,0,ok,
2026-07-06T11:45:34,paris,1000,1000,0,ok,
2026-07-06T11:45:34,meaux,16,16,0,ok,
2026-07-06T11:45:34,chessy,88,74,0,ok,
2026-07-06T11:45:34,serris,69,2,0,ok,
2026-07-06T11:45:34,torcy,224,145,0,ok,
2026-07-06T12:01:31,paris,1000,1000,0,ok,
2026-07-06T12:01:31,meaux,16,16,0,ok,
2026-07-06T12:01:31,chessy,88,74,0,ok,
2026-07-06T12:01:31,serris,69,2,0,ok,
2026-07-06T12:01:31,torcy,224,145,0,ok,
2026-07-06T12:15:37,paris,1000,1000,0,ok,
2026-07-06T12:15:37,meaux,16,16,0,ok,
2026-07-06T12:15:37,chessy,88,74,0,ok,
2026-07-06T12:15:37,serris,69,2,0,ok,
2026-07-06T12:15:37,torcy,224,145,0,ok,
2026-07-06T12:31:11,paris,1000,1000,0,ok,
2026-07-06T12:31:11,meaux,16,16,0,ok,
2026-07-06T12:31:11,chessy,88,74,0,ok,
2026-07-06T12:31:11,serris,69,2,0,ok,
2026-07-06T12:31:11,torcy,224,145,0,ok,
2026-07-06T12:45:36,paris,1000,1000,0,ok,
2026-07-06T12:45:36,meaux,16,16,0,ok,
2026-07-06T12:45:36,chessy,88,74,0,ok,
2026-07-06T12:45:36,serris,69,2,0,ok,
2026-07-06T12:45:36,torcy,224,145,0,ok,
2026-07-06T12:48:58,paris,1000,1000,0,ok,
2026-07-06T12:48:58,meaux,16,16,0,ok,
2026-07-06T12:48:58,chessy,88,74,0,ok,
2026-07-06T12:48:58,serris,69,2,0,ok,
2026-07-06T12:48:58,torcy,224,145,0,ok,
2026-07-06T13:01:17,paris,1000,1000,0,ok,
2026-07-06T13:01:17,meaux,16,16,0,ok,
2026-07-06T13:01:17,chessy,88,74,0,ok,
2026-07-06T13:01:17,serris,69,2,0,ok,
2026-07-06T13:01:17,torcy,224,145,0,ok,
